date,horse_code,horse_id,horse_name,horse_number,incident,position_final,race_number
2024-06-08,J222,HK_2023_J222,ENJOY GOLF,7,H Bowman was harmlessly dislodged from his mount behind the starting gates.  ENJOY GOLF was examined by the Veterinary Officer and passed suitable to start.  Sent for sampling post-race.,1,5
2024-06-08,H177,HK_2022_H177,MASTER OF ALL,10,Shortly after the start was bumped by GREAT ACHIEVER which shifted in.  Sent for sampling post-race.,2,5
2024-06-08,H403,HK_2022_H403,RUN RUN TIMING,3,"When questioned, H Bentley stated that at its last start from the outside barrier he was asked to ride his mount in a conservative manner due to it stepping up in distance.  He said today he was asked to attempt to obtain a midfield position with cover, however, was given the option to settle in a more forward position if cover was not available.  He added after commencing well today and with the pace of the event being run outside of standard time, RUN RUN TIMING was able to take up a more forward position than anticipated.",3,5
2024-06-08,H483,HK_2022_H483,PATCH OF TIME,12,No report.,4,5
2024-06-08,J002,HK_2023_J002,HAPPYDEARHAPPYDEER,9,No report.,5,5
2024-06-08,J049,HK_2023_J049,GREAT ACHIEVER,13,"Shifted in shortly after the start and was bumped.  Due to the pace of the event being run outside of standard time, GREAT ACHIEVER commenced to over-race near the 900 Metres and got its head up when being steadied away from STAR LINE.  Approaching the 200 Metres had difficulty obtaining clear running between KYEEMA and FLOOF which shifted out, resulting in GREAT ACHIEVER making contact with KYEEMA.  After the race, L Hewitson stated that the instructions were to hold a more forward position, but after being bumped at the start GREAT ACHIEVER settled further back than what had been intended.",6,5
2024-06-08,J110,HK_2023_J110,STAR LINE,4,Jumped awkwardly.  Raced keenly in the early stages and approaching the 1100 Metres was steadied to avoid PATCH OF TIME.,7,5
2024-06-08,J054,HK_2023_J054,FOOLISH HEART,5,"After the race, K C Leung reported that from the outside barrier he was requested to ride the horse in a conservative manner.  Trainer C W Chang confirmed the instructions issued.",8,5
2024-06-08,J221,HK_2023_J221,MILES AWAY,8,No report.,9,5
2024-06-08,H095,HK_2022_H095,STRATHPEFFER,11,Bumped shortly after the start.  A veterinary inspection immediately following the race did not show any significant findings.,10,5
2024-06-08,H489,HK_2022_H489,THE KHAN,14,"Jumped only fairly and from a wide barrier was shifted across behind runners in the early stages.  Due to the pace of the event being run outside of standard time, THE KHAN over-raced in the early and middle stages and near the 900 Metres got its head up when being steadied away from GREAT ACHIEVER.  A veterinary inspection immediately following the race did not show any significant findings.",11,5
2024-06-08,H432,HK_2022_H432,FLOOF,2,No report.,12,5
2024-06-08,J055,HK_2023_J055,KYEEMA,6,"Proved difficult to load into the starting gates.  Before being allowed to race again, KYEEMA will be required to perform satisfactorily in a stalls test.  Shifted in at the start and was bumped.  Raced wide and without cover for the majority of the event and then was taken very wide from the 650 Metres when FLOOF shifted out.  In this incident, KYEEMA was bumped near the 500 Metres.  Bumped approaching the 200 Metres.",13,5
2024-06-08,G241,HK_2021_G241,DREAM PURSUER,1,A veterinary inspection immediately following the race did not show any significant findings.,14,5
2024-06-08,J358,HK_2023_J358,FAST NETWORK,7,Sent for sampling post-race.,1,2
2024-06-08,J323,HK_2023_J323,GRAND NOVA,10,Sent for sampling post-race.,2,2
2024-06-08,H133,HK_2022_H133,TALENTS SUPREMO,13,No report.,3,2
2024-06-08,E336,HK_2020_E336,CHEVAL VALIANT,1,No report.,4,2
2024-06-08,J312,HK_2023_J312,COLOURFUL WINNER,5,Near the 250 Metres was directed to the inside of SUPER AXIOM and FAST NETWORK to continue into clear running.,5,2
2024-06-08,J339,HK_2023_J339,FLYING LUCK,8,"Made contact with the right side of its barrier on jumping and then shortly after the start bumped with DAY DAY VICTORY which shifted in slightly.  After the 200 Metres was shifted to the outside of AURORA LADY to continue into clear running.  Approaching the 50 Metres, when racing greenly, was unable to be ridden out when positioned close to COLOURFUL WINNER which shifted out.",6,2
2024-06-08,J066,HK_2023_J066,AURORA LADY,3,"After the race, B Avdulla stated that AURORA LADY was not suited by starting from barrier 1 and that it lay out over the final 400 Metres of the event.  A veterinary inspection immediately following the race found that horse to have an intermittent epiglottic entrapment.",7,2
2024-06-08,E105,HK_2020_E105,SUPER AXIOM,12,No report.,8,2
2024-06-08,J028,HK_2023_J028,GLORIOUS EXPERT,11,No report.,9,2
2024-06-08,J315,HK_2023_J315,LUCKY MAN,9,Bumped on jumping.  Near the 400 Metres was momentarily held up behind GLORIOUS EXPERT.,10,2
2024-06-08,J157,HK_2023_J157,BLAZING WIND,4,Jumped awkwardly and was bumped shortly after the start by LUCKY MAN which shifted in slightly.  For some distance after the 500 Metres lay out when it raced in restricted room between LUCKY MAN and DAY DAY VICTORY which was positioned tight to the outside of GUSTY FIGHTER which shifted out slightly.,11,2
2024-06-08,J192,HK_2023_J192,SUPERSONIC,2,Jumped only fairly.,12,2
2024-06-08,J029,HK_2023_J029,GUSTY FIGHTER,14,Bumped approaching the 400 Metres.,13,2
2024-06-08,J423,HK_2023_J423,DAY DAY VICTORY,6,Approaching the 400 Metres bumped with GUSTY FIGHTER.  After the 300 Metres was steadied when crowded between GUSTY FIGHTER and GLORIOUS EXPERT which shifted in.,14,2
2024-06-08,J116,HK_2023_J116,WINNING MONEY,,"WINNING MONEY, Standby Declared Starter, was withdrawn on 6.6.24 by order of the Stewards (required sedation as fractious when being transported from the Conghua Racecourse to Hong Kong).  Before being allowed to race again, WINNING MONEY will be subjected to an official veterinary examination.",WX,2
2024-06-08,J233,HK_2023_J233,LO PAN SPIRIT,2,Sent for sampling post-race.,1,6
2024-06-08,E157,HK_2020_E157,GLUCK RACER,11,Jumped only fairly and was crowded by BOWSER which shifted in after being bumped by HAROLD WIN.  Sent for sampling post-race.,2,6
2024-06-08,J320,HK_2023_J320,SUPER INFINITY,4,Jumped only fairly.  In the early stages raced keenly.  Sent for sampling post-race.,3,6
2024-06-08,J280,HK_2023_J280,HAROLD WIN,5,No report.,4,6
