date,horse_code,horse_id,horse_name,horse_number,incident,position_final,race_number
2023-10-04,G394,HK_2021_G394,HEROIC MASTER,4,Was sent for sampling post-race.,1,3
2023-10-04,G258,HK_2021_G258,MAJESTIC KNIGHT,3,Was bumped on jumping.  Was sent for sampling post-race.,2,3
2023-10-04,H125,HK_2022_H125,HUMBLE STAR,6,Was sent for sampling post-race.,3,3
2023-10-04,B001,HK_2017_B001,EXPLOSIVE WITNESS,2,No report.,4,3
2023-10-04,E061,HK_2020_E061,HARMONY N BLESSED,1,"A veterinary inspection immediately following the race which included an endoscopic examination showed a substantial amount of blood in the horse’s trachea.  Before being allowed to race again, HARMONY N BLESSED will be subjected to an official veterinary examination.",5,3
2023-10-04,H396,HK_2022_H396,KYRUS DRAGON,5,"Was slow to begin.  When questioned, K De Melo stated that his mount was fractious in the barriers and as a consequence jumped awkwardly and lost ground at the start.  He said due to his mount’s mannerism in the barriers, he had not had the opportunity to fit his goggles and as a result after travelling approximately 200 Metres fitted his goggles.  When questioned regarding his riding on the Home Turn as to whether there was an opportunity to improve to the outside of EXPLOSIVE WITNESS sooner than what he did, K De Melo stated that from the 550 Metres his mount was not travelling well enough to make a forward move and as a consequence he elected to remain racing to the outside of EXPLOSIVE WITNESS.  He added that when EXPLOSIVE WITNESS then shifted out to improve on the Home Turn, this resulted in KYRUS DRAGON being taken wider before he was able to shift his mount back to the inside to secure clear running at the 300 Metres.  K De Melo was advised that whenever possible he must ensure all equipment is properly fitted before the start of a race.",6,3
2023-10-04,D356,HK_2019_D356,AMAZING ROCKY,8,"Became fractious whilst parading, examined by the Veterinary Officer on arrival at the Start and passed suitable to race.  A veterinary inspection immediately following the race did not show any significant findings.",7,3
2023-10-04,E105,HK_2020_E105,SUPER AXIOM,9,No report.,8,3
2023-10-04,H456,HK_2022_H456,SPORTS LEGEND,7,"Jumped awkwardly and then was bumped shortly after the start.  After the race, C Y Ho stated that whilst his mount was obliged to race wide and without cover for the majority of the event, when he had concern that there might be something amiss with SPORTS LEGEND, he did not ride it out to the finish.  Trainer J Richards stated that SPORTS LEGEND had pleased him in its three barrier trials since arriving in Hong Kong, however, in retrospect SPORTS LEGEND may have needed some more time to climatise to Hong Kong.  He added that as a result he now intends to send SPORTS LEGEND to Conghua to freshen it up before its next race start.  A veterinary inspection immediately following the race did not show any significant findings.  The performance of SPORTS LEGEND was considered unacceptable.  Before being allowed to race again, SPORTS LEGEND will be required to perform to the satisfaction of the Stewards in a barrier trial and be subjected to an official veterinary examination.",9,3
2023-10-04,G282,HK_2021_G282,VIVA A LA,7,Was sent for sampling post-race.,1,1
2023-10-04,E025,HK_2020_E025,YEE CHEONG WARRIOR,3,Was sent for sampling post-race.,2,1
2023-10-04,E403,HK_2020_E403,TSUEN WAN GLORY,8,"Jumped awkwardly, shifted in and bumped SUPER BUDDY and became unbalanced.",3,1
2023-10-04,G279,HK_2021_G279,M M NEBULA,2,"Was found to have blood in its mouth on arrival at the barriers, was examined by the Veterinary Officer and passed suitable to race.  Raced wide and without cover for the majority of the event.",4,1
2023-10-04,E166,HK_2020_E166,SUNNY BABY,1,"After the race, Z Purton stated that his mount was not suited by tonight’s ""Good to Firm” track conditions and as a consequence failed to respond strongly to his riding in the Home Straight.  A veterinary inspection immediately following the race did not show any significant findings.",5,1
2023-10-04,E311,HK_2020_E311,HANG'S CHOICE,11,Approaching the 200 Metres was disappointed for clear running to the inside of SUPER BUDDY which shifted in after initially shifting out and did not obtain clear running until the 150 Metres.,6,1
2023-10-04,E205,HK_2020_E205,SUPER BUDDY,5,Lay in under pressure when giving ground in the Home Straight.,7,1
2023-10-04,G232,HK_2021_G232,BEAUTY NOVA,9,A veterinary inspection immediately following the race did not show any significant findings.,8,1
2023-10-04,G280,HK_2021_G280,BRILLIANT EIGHT,10,No report.,9,1
2023-10-04,D281,HK_2019_D281,MILLENNIUM FALCON,4,"Over-raced in the early stages.  After the race, Apprentice Y L Chung explained his intention was to be more forward, but his mount jumped awkwardly and as a consequence settled back.  A veterinary inspection immediately following the race did not show any significant findings.",10,1
2023-10-04,D070,HK_2019_D070,DAILY BEAUTY,6,"From the outside barrier was shifted across behind runners in the early stages.  From the 900 Metres commenced a forward move, but showed insufficient pace to cross runners and as a result raced wide and without cover from that point.  A veterinary inspection immediately following the race did not show any significant findings.",11,1
2023-10-04,H080,HK_2022_H080,JUNE PLANET,2,Jumped only fairly.  Was sent for sampling post-race.,1,4
2023-10-04,B085,HK_2017_B085,FEARLESS FIRE,8,Was sent for sampling post-race.,2,4
2023-10-04,G098,HK_2021_G098,BEAUTY MISSION,11,From the outside barrier was shifted across behind runners in the early stages.  Approaching the 900 Metres commenced to race keenly and was steadied away from SUPER BABY.,3,4
2023-10-04,E082,HK_2020_E082,DURHAM STAR,3,Was held up for clear running from the 500 Metres to the 300 Metres.  Was sent for sampling post-race.,4,4
2023-10-04,H206,HK_2022_H206,LITTLE FAIRY,7,Was bumped at the start.  From a wide barrier was shifted across behind runners in the early stages.  For some distance near the 200 Metres raced tight to the outside of BEAUTY MISSION when that runner shifted out slightly and near the 100 Metres was obliged to be corrected by its rider to avoid the heels of BEAUTY MISSION.,5,4
2023-10-04,D419,HK_2019_D419,LEGION OF MERIT,5,Raced wide and without cover in the early and middle stages and as a result was allowed to stride forward from the 1000 Metres to take up a position closer to the rail.,6,4
2023-10-04,H101,HK_2022_H101,HAPPY HUNK,10,"Was bumped at the start.  When questioned regarding his mount settling in a more forward position, K C Leung stated that he was instructed to hold a midfield position.  He said after commencing well and when caught wide in the early stages, he allowed HAPPY HUNK to stride forward to avoid covering additional ground and as a consequence settled more forward than what he had intended.  Trainer K L Man confirmed the instructions issued.",7,4
2023-10-04,G364,HK_2021_G364,SUPER BABY,1,From a wide barrier was shifted across behind runners in the early stages.  A veterinary inspection immediately following the race did not show any significant findings.,8,4
2023-10-04,H158,HK_2022_H158,CYBER PATCH,9,No report.,9,4
2023-10-04,G372,HK_2021_G372,YEABOI,6,"Near the 1400 Metres shifted in, made contact with the rail and became unbalanced.  Passing the 1200 Metres shifted in and brushed the running rail.  A veterinary inspection immediately following the race did not show any significant findings.",10,4
2023-10-04,H310,HK_2022_H310,E TALENT,4,"Jumped only fairly and then raced tight for a short distance after the start.  Near the 1400 Metres was bumped by YEABOI.  The performance of E TALENT was considered unacceptable.  Before being allowed to race again, E TALENT will be required to perform to the satisfaction of the Stewards in a barrier trial and be subjected to an official veterinary examination.  A veterinary inspection immediately following the race did not show any significant findings.",11,4
2023-10-04,H262,HK_2022_H262,CAPITAL DELIGHT,5,"Was slow to begin.  Near the 550 Metres commenced to race keenly and shifted out when being steadied away from EXCELLENT PEERS.  C Y Ho was found guilty of a charge under Rule 100(2) in that he failed to ride his mount out all the way to the end of the race to the satisfaction of the Stewards.  Having considered precedent penalties, Jockey Ho’s record in relation to like offences and the nature of the breach in circumstances where his mount dead-heated for first placing, the Stewards believed the appropriate penalty was for C Y Ho’s licence to ride in races be suspended for a period to commence on Wednesday, 18 October 2023 and to expire on Monday, 20 November 2023 on which day he may resume race riding (10 Hong Kong racedays).  Was sent for sampling post-race.",1 DH,5
2023-10-04,E385,HK_2020_E385,LUCKY ARCHANGEL,7,Was sent for sampling post-race.,1 DH,5
2023-10-04,G033,HK_2021_G033,EXCELLENT PEERS,1,Was slow to begin.,3,5
2023-10-04,H007,HK_2021_H007,ALLGREEKTOME,3,Raced keenly in the lead in the early and middle stages.  A veterinary inspection immediately following the race did not show any significant findings. Was sent for sampling post-race.,4,5
2023-10-04,H303,HK_2022_H303,TOMODACHI KOKOROE,9,No report.,5,5
2023-10-04,H241,HK_2022_H241,RED ELEGANCE,8,Near the 500 Metres commenced to race keenly and was steadied away from LUCKY ARCHANGEL.  A veterinary inspection immediately following the race did not show any significant findings.,6,5
2023-10-04,E459,HK_2020_E459,BEAUTY GLORY,4,A veterinary inspection immediately following the race did not show any significant findings.,7,5
2023-10-04,H153,HK_2022_H153,EURO ROCKS,6,"Shortly after the start became unbalanced.  When questioned, L Hewitson stated that he had expected to take up a forward position, preferably with cover.  He said in the early stages when EURO ROCKS was caught wide, he elected to continue forward on his mount to cross LUCKY ARCHANGEL and as a consequence settled outside the leader ALLGREEKTOME.  He added that EURO ROCKS, which was having its first start at Happy Valley tonight, may not have appreciated the circuit and in addition was not comfortable on the ""Good to Firm” track conditions.  He further stated that, in his opinion, EURO ROCKS would be better suited on the All Weather surface.  A veterinary inspection immediately following the race did not show any significant findings.",8,5
2023-10-04,D272,HK_2019_D272,KEEP YOU WARM,2,"Was withdrawn on 3.10.23 by order of the Stewards acting on veterinary advice (lame left fore).  Before being allowed to race again, KEEP YOU WARM will be subjected to an official veterinary examination.",WV,5
2023-10-04,G471,HK_2021_G471,DENFIELD,1,"Shifted in at the start and then was bumped.  When questioned regarding DENFIELD leading the event, Z Purton stated that whilst he was asked to take up a forward position on DENFIELD, he was not specifically asked to lead.  He stated that when his mount commenced reasonably well, he elected to continue forward and hold the lead, particularly as there was no identified leader in the race.  Trainer C S Shum confirmed the instructions issued.  Was sent for sampling post-race.",1,6
2023-10-04,D222,HK_2019_D222,GOLDEN LINK,5,"When questioned regarding the tactics adopted on GOLDEN LINK, K C Leung explained that his instructions were to find cover in behind the lead.  He said whilst GOLDEN LINK jumped well this evening, he was mindful that his instructions were to find cover and for this reason he allowed DENFIELD to cross GOLDEN LINK to comply with his instructions.  Trainer P F Yiu confirmed the instructions issued.  Was sent for sampling post-race.",2,6
2023-10-04,G413,HK_2021_G413,HIGH PERCENTAGE,7,Jumped only fairly and then was badly crowded shortly after the start.,3,6
2023-10-04,G108,HK_2021_G108,FLAMING EAGLE,10,Near the 1100 Metres was steadied to avoid GOLDEN LINK (K C Leung) which shifted in when not quite clear.  K C Leung was advised to exercise more care.  Was brushed near the 200 Metres.,4,6
2023-10-04,G181,HK_2021_G181,SPEEDSTAR,12,Was bumped at the start. Raced wide and without cover from the 700 Metres.,5,6
2023-10-04,E471,HK_2020_E471,LESLIE,2,From the outside barrier was shifted across behind runners in the early stages.  A veterinary inspection immediately following the race did not show any significant findings.,6,6
2023-10-04,G328,HK_2021_G328,PRIME MORTAR,3,Jumped only fairly.  Over-raced in the early stages.,7,6
2023-10-04,E343,HK_2020_E343,HEARTY WISH,8,When giving ground near the 200 Metres lay in and brushed FLAMING EAGLE.,8,6
2023-10-04,G283,HK_2021_G283,COMPASSION SUPER,4,Was held up for clear running from the 550 Metres behind GOLDEN LINK and at the 400 Metres was checked away from that horse.  A veterinary inspection immediately following the race did not show any significant findings.,9,6
2023-10-04,H183,HK_2022_H183,UNITED WARRIORS,9,"No report. <5/10/2023 Additional Veterinary Reports>The Veterinary Surgeon reported that UNITED WARRIORS was lame in its left front leg and had sustained a bone injury to the left knee on the morning after racing.  Before being allowed to race again, UNITED WARRIORS will be subjected to an official veterinary examination.",10,6
2023-10-04,D409,HK_2019_D409,AUGUST MOON,11,"Was bumped at the start and became unbalanced.  Near the 400 Metres endeavoured to shift to the outside of FLAMING EAGLE to obtain clear running.  When being shifted to the outside of FLAMING EAGLE, FLAMING EAGLE became awkwardly placed close to HEARTY WISH and was steadied by its rider which resulted in AUGUST MOON being positioned close to the heels of that runner.  A short distance later, HIGH PERCENTAGE (L Hewitson) improved to the outside of AUGUST MOON which then resulted in AUGUST MOON having to be checked.  L Hewitson was advised to exercise more care and provide comfortable racing room for runners to his inside in similar circumstances.  Was noted to have lost its right hind plate after the race.",11,6
2023-10-04,H339,HK_2022_H339,NINJA DERBY,6,Jumped awkwardly.  A veterinary inspection immediately following the race did not show any significant findings.,12,6
2023-10-04,G031,HK_2021_G031,MY INTELLIGENT,2,Was sent for sampling post-race.,1,2
2023-10-04,G083,HK_2021_G083,MIRACLES,8,Was sent for sampling post-race.,2,2
2023-10-04,G004,HK_2021_G004,VAMOS,3,Jumped only fairly.  Was sent for sampling post-race.,3,2
2023-10-04,E495,HK_2020_E495,VALHALLA,10,"After the race, K De Melo reported that his mount hung in in the middle stages.",4,2
2023-10-04,G403,HK_2021_G403,FINGERS CROSSED,1,Shortly after the start was steadied when crowded for room.,5,2
2023-10-04,E303,HK_2020_E303,OUR CLASS ACT,7,"Shortly after the start was bumped and became unbalanced.  Near the 600 Metres was steadied when momentarily crowded by VALHALLA.  After the race, K Teetan stated that his mount would derive benefit from tonight’s performance.",6,2
2023-10-04,G423,HK_2021_G423,EASY TWO,4,Jumped awkwardly and shifted in abruptly before being corrected by its rider.  Over-raced when being shifted across behind runners in the early stages.,7,2
2023-10-04,G243,HK_2021_G243,HAPPY MATADOR,12,"Jumped awkwardly, made contact with the left side of its barrier and then was crowded shortly after.",8,2
2023-10-04,D472,HK_2019_D472,PEAK TO PEAK,9,"Fractious in the barriers, jumped awkwardly and lost ground.  Shortly after the start was then checked when crowded.  A veterinary inspection immediately following the race did not show any significant findings.",9,2
2023-10-04,E211,HK_2020_E211,DRAGON KINGDOM,6,No report.,10,2
2023-10-04,E255,HK_2020_E255,FIGHTING STAR,5,"After the race, A Badel stated that his mount failed to travel at any stage of the event and raced in a disappointing manner.  A veterinary inspection immediately following the race did not show any significant findings.",11,2
2023-10-04,D231,HK_2019_D231,DAY DAY RICH,11,Was reported by the Veterinary Surgeon to be mildly distressed after the race.,12,2
2023-10-11,H116,HK_2022_H116,IVY LEAGUE,8,Was bumped at the start.  Approaching the 800 Metres commenced to race keenly and shifted to the outside of STAR CONTACT where it commenced a forward move.  Was sent for sampling post-race.,1,3
2023-10-11,H122,HK_2022_H122,TOURBILLON PRINCE,6,Was sent for sampling post-race.,2,3
2023-10-11,E355,HK_2020_E355,ALL BEAUTY,3,"Jumped only fairly, shifted in and bumped IVY LEAGUE.",3,3
2023-10-11,E461,HK_2020_E461,WINNING DRAGON,1,No report.,4,3
2023-10-11,G071,HK_2021_G071,COMET SPLENDIDO,9,Jumped awkwardly and from the outside barrier was shifted across behind runners in the early stages.  For a short distance near the 300 Metres was held up for clear running behind BEAUTYVERSE.,5,3
2023-10-11,G333,HK_2021_G333,CAPITAL LEGEND,4,"After the race, C Y Ho stated that after settling back in the field, when IVY LEAGUE started a forward move near the 800 Metres, his mount became held up behind BEAUTYVERSE and was unable to improve.  He added from the 700 Metres CAPITAL LEGEND was again held up until he shifted to the outside of BEAUTYVERSE approaching the 400 Metres to secure clear running.  A veterinary inspection immediately following the race did not show any significant findings.  Was sent for sampling post-race.",6,3
2023-10-11,E472,HK_2020_E472,STAR CONTACT,5,"Near the 250 Metres shifted out and away from WINNING DRAGON when that runner shifted out slightly.  After the race, K Teetan stated that his mount settled slightly further back than anticipated due to the early stages of the event being run inside standard.  He said STAR CONTACT travelled satisfactorily in the run, but finished the race off in a disappointing manner and he could offer no explanation as to why his mount did not run on.  A veterinary inspection immediately following the race did not show any significant findings.",7,3
2023-10-11,G195,HK_2021_G195,JUMBO FORTUNE,7,Jumped awkwardly.  From the 550 Metres was held up for clear running and near the 250 Metres was steadied when disappointed for clear running between HIGH RISE SOLDIER which was giving ground and ALL BEAUTY which shifted in.,8,3
2023-10-11,H075,HK_2022_H075,BEAUTYVERSE,2,H Bowman dropped his whip approaching the 200 Metres.,9,3
2023-10-11,C511,HK_2018_C511,HIGH RISE SOLDIER,10,"After the race, H T Mo stated that his mount travelled comfortably in a forward position, but when placed under pressure entering the Home Straight commenced to make an abnormal respiratory noise and gave ground from that point.  A veterinary inspection immediately following the race did not show any significant findings.  Before being allowed to race again, HIGH RISE SOLDIER will be subjected to an official veterinary examination.",10,3
2023-10-11,G322,HK_2021_G322,HAPPY HERO,12,From a wide barrier was shifted across behind runners in the early stages.  Was sent for sampling post-race.,1,2
2023-10-11,E069,HK_2020_E069,HAPPY JAI JAI,3,Was sent for sampling post-race.,2,2
2023-10-11,D274,HK_2019_D274,FORTUNE TRIPLE,10,No report.,3,2
2023-10-11,G129,HK_2021_G129,MEDIC ELITE,6,"After the race, A Badel stated that he was not instructed to hold a forward position, but after commencing well and when a number of runners to his inside did not show intent on going forward, he elected to ride MEDIC ELITE forward to take up a position closer to the rail.  Trainer P C Ng confirmed the instructions issued.",4,2
2023-10-11,G477,HK_2021_G477,SMART BEAUTY,11,Was slow to begin.  Rounding the Home Turn lay in and on straightening shifted in before being corrected by its rider B Avdulla.  Then continued to lay in under pressure in the Home Straight.,5,2
2023-10-11,G175,HK_2021_G175,PERFECT ROCK,8,No report.,6,2
2023-10-11,C534,HK_2018_C534,COPARTNER ERA,2,"After the race, M Chadwick stated that his mount settled at the rear of the field as anticipated, particularly with the strong early pace.  He said from the 500 Metres he had some difficulty being able to improve into the event, but then entering the Home Straight became held up behind REGENCY HAPPY STAR and SMART BEAUTY and then did not obtain clear running until near the 200 Metres where COPARTNER ERA ran to the line in a one-paced manner.  A veterinary inspection immediately following the race did not show any significant findings.",7,2
2023-10-11,G415,HK_2021_G415,EAGLE RUN,7,"After the race, K De Melo stated that his mount travelled comfortably outside the lead throughout the early and middle stages.  He said when placed under pressure in the Home Straight EAGLE RUN lay out and gave ground, but could offer no excuse for the disappointing performance.  A veterinary inspection immediately following the race did not show any significant findings.",8,2
2023-10-11,H275,HK_2022_H275,BRAVE AND BOLD,1,Raced wide and without cover for the majority of the event.,9,2
2023-10-11,E151,HK_2020_E151,CHIRON,5,"Jumped only fairly.  After the race, K C Leung could offer no explanation for his mount’s disappointing performance.  A veterinary inspection immediately following the race did not show any significant findings.",10,2
2023-10-11,E316,HK_2020_E316,STAR OF GLORY,9,No report.,11,2
2023-10-11,H248,HK_2022_H248,REGENCY HAPPY STAR,4,"After the race, H Bowman stated that it was not his intention to go forward, but after commencing well he was able to take up a more forward position than anticipated.  He stated that his mount was under pressure from the 600 Metres and gave ground in the Home Straight.  A veterinary inspection immediately following the race did not show any significant findings.  The performance of REGENCY HAPPY STAR was considered unacceptable.  Before being allowed to race again, REGENCY HAPPY STAR will be required to perform to the satisfaction of the Stewards in a barrier trial and be subjected to an official veterinary examination.",12,2
2023-10-11,G166,HK_2021_G166,HAPPY FAT CAT,4,Was sent for sampling post-race.,1,4
2023-10-11,C460,HK_2018_C460,WOOD ON FIRE,6,"Prior to the declaration of correct weight, K Teetan and Trainer C W Chang viewed the films to ascertain if there were grounds for a protest/objection against HAPPY FAT CAT being declared the winner when that runner shifted out over the concluding stages.  When connections declined to lodge a protest/objection, the Stewards were satisfied that there were not sufficient grounds to do so, weighed-in was declared on the numbers semaphored by the Judge.  Was sent for sampling post-race.",2,4
2023-10-11,H159,HK_2022_H159,GOLDEN LUCK,5,Was sent for sampling post-race.,3,4
2023-10-11,H247,HK_2022_H247,SUPER ELITE,8,No report.,4,4
2023-10-11,E281,HK_2020_E281,WIND SPEEDER,10,From the outside barrier was shifted across behind runners in the early stages.  For a short distance near the 400 Metres was held up for clear running.,5,4
2023-10-11,H277,HK_2022_H277,SHINKANSEN,11,"Reared in the Parade Ring, was examined by the Veterinary Officer on arrival at the Start and passed suitable to race.  Jumped very awkwardly, shifted in and made heavy contact with GOOD VIEW GLORY.  A veterinary inspection immediately following the race did not show any significant findings.",6,4
2023-10-11,C361,HK_2018_C361,OVERSUBSCRIBED,9,No report.,7,4
2023-10-11,C477,HK_2018_C477,FLYING ON THE TURF,3,Approaching the 1000 Metres was steadied when crowded by OVERSUBSCRIBED which was taken in by KOKUSHI MUSOU (H Bowman).  H Bowman was advised to exercise more care.,8,4
2023-10-11,G006,HK_2021_G006,KOKUSHI MUSOU,2,"After the race, H Bowman stated that after taking up a forward position he was obliged to race wide and without cover for the majority of the event.  He added that when placed under pressure in the Home Straight, KOKUSHI MUSOU failed to respond to his riding and although obliged to race wide was still in his opinion somewhat disappointing.  A veterinary inspection immediately following the race did not show any significant findings.",9,4
2023-10-11,H214,HK_2022_H214,CHATEAU,1,Jumped only fairly and from a wide barrier was shifted across behind runners in the early stages.,10,4
2023-10-11,H154,HK_2022_H154,GOOD VIEW GLORY,12,"Was bumped heavily at the start.  Near the 800 Metres became badly unbalanced when crowded between URBAN TRIUMPH and OVERSUBSCRIBED which, after shifting in, then raced tight to the inside of KOKUSHI MUSOU (H Bowman) which also shifted in.  H Bowman was severely reprimanded and advised he must ensure he leaves sufficient racing room for runners positioned to his inside.  Near the 75 Metres was awkwardly placed on the heels of KOKUSHI MUSOU when that runner commenced to give ground and was then shifted to the inside to continue into clear running.",11,4
2023-10-11,H200,HK_2022_H200,URBAN TRIUMPH,7,Was slow to begin.  Near the 800 Metres was bumped by GOOD VIEW GLORY and became unbalanced.,12,4
2023-10-11,G130,HK_2021_G130,LIGHTNING BOLT,5,Was sent for sampling post-race.,1,8
2023-10-11,G016,HK_2021_G016,SUGAR SUGAR,7,From the 700 Metres raced wide and without cover.  Shifted out near the 50 Metres and brushed LIGHTNING BOLT.  Was sent for sampling post-race.,2,8
2023-10-11,G165,HK_2021_G165,GALLANT WAKING,3,Jumped only fairly.,3,8
2023-10-11,H341,HK_2022_H341,STREET CONQUEROR,10,No report.,4,8
2023-10-11,E346,HK_2020_E346,JOLLY RULER,4,Was bumped approaching the 300 Metres when endeavouring to shift out to obtain clear running.,5,8
2023-10-11,G292,HK_2021_G292,OUR LUCKY GLORY,12,Was bumped shortly after the start by SUGAR SUGAR which shifted in.,6,8
2023-10-11,H395,HK_2022_H395,SWIFT ASCEND,8,"Whilst the Stewards were satisfied that the riding of L Hewitson, 7th placegetter, over the concluding stages did not affect the horse’s finishing position, he will nonetheless be reminded of his obligation to ensure that he fully rides his mounts out to the finish of the race.  A veterinary inspection immediately following the race did not show any significant findings.",7,8
2023-10-11,E300,HK_2020_E300,TORONADO PHANTOM,6,At the 250 Metres was bumped by GALLANT WAKING which shifted out.,8,8
2023-10-11,G396,HK_2021_G396,NOT USUAL STAR,1,"Near the 300 Metres was directed to the outside of GALLANT CROWN to obtain clear running.  Near the 150 Metres was checked when crowded by GALLANT CROWN (M L Yeung) which shifted out and made contact with NOT USUAL STAR and TORONADO PHANTOM (A Badel) which shifted in whilst being ridden along.  Whilst the Stewards accepted that the shift out from GALLANT CROWN had contributed to the interference, A Badel was reprimanded and advised he must stop riding and straighten his mounts when they commence to shift ground when not clear.  M L Yeung was advised to exercise more care.  After the race, C L Chau stated that his mount jumped very awkwardly and lost ground at the start.  He added that it was his intention to take up a forward position, but was unable to do so because of the manner in which NOT USUAL STAR jumped tonight.",9,8
2023-10-11,D359,HK_2019_D359,GALLANT CROWN,11,Was bumped at the 150 Metres before being corrected by its rider.,10,8
2023-10-11,E467,HK_2020_E467,ORIENTAL SMOKE,2,Near the 450 Metres was momentarily crowded between GALLANT WAKING which shifted out slightly and TORONADO PHANTOM.,11,8
2023-10-11,H300,HK_2022_H300,AORAKI SUMMIT,9,"Was caught wide and without cover in the early stages and was obliged to be ridden forward to race outside the lead near the 700 Metres.  Approaching the 300 Metres, when under pressure, became badly unbalanced when crowded between JOLLY RULER which shifted out and made contact with AORAKI SUMMIT, and SUGAR SUGAR (H Bowman) which shifted in.  H Bowman was reprimanded and advised he must ensure he leaves sufficient racing room for runners to his inside.  A veterinary inspection immediately following the race did not show any significant findings.",12,8
2023-10-11,G402,HK_2021_G402,LEAN HERO,2,Was sent for sampling post-race.,1,7
2023-10-11,G150,HK_2021_G150,TURIN WARRIOR,7,"From a wide barrier was shifted across behind runners in the early stages.  Near the 600 Metres was bumped by GOODBAN BANBANBANG which made the turn awkwardly and shifted out.  When questioned regarding his riding from the 600 Metres, Z Purton stated that after being bumped by GOODBAN BANBANBANG, his mount was then positioned behind PRINCE ALEX near the 600 Metres.  He said when FASTPASS hung out and PRINCE ALEX was taken out by SURE JOYFUL at the 500 Metres, he was then reluctant to proceed to the outside as this may have resulted in TURIN WARRIOR being held up for clear running.  He added as a result he remained racing behind PRINCE ALEX until approaching the 350 Metres when he obtained clear running to the outside of that horse.  The Stewards found the tactics adopted were reasonable in the circumstances. Was sent for sampling post-race.",2,7
2023-10-11,H128,HK_2022_H128,DRAGON STAR,10,No report.,3,7
2023-10-11,E351,HK_2020_E351,ROYAL PRIDE,1,From a wide barrier was shifted across behind runners in the early stages.,4,7
2023-10-11,G307,HK_2021_G307,PRINCE ALEX,6,No report.,5,7
2023-10-11,G125,HK_2021_G125,SURE JOYFUL,9,No report.,6,7
2023-10-11,G436,HK_2021_G436,CASA COSMO,4,Shortly after the start was crowded between ROYAL PRIDE and FASTPASS.,7,7
2023-10-11,H188,HK_2022_H188,RED HARE KING,3,Approaching the 1400 Metres was steadied away from GOODBAN BANBANBANG.,8,7
2023-10-11,G030,HK_2021_G030,UNITED ENDEAVORS,12,A veterinary inspection immediately following the race did not show any significant findings.,9,7
2023-10-11,G304,HK_2021_G304,SUPERB MOVE,8,"After the race, L Hewitson advised that his instructions, from a wide barrier, were to ride his mount in a conservative manner in the early stages.  He said although SUPERB MOVE commenced well tonight, to comply with his instructions, he restrained his mount in the early stages in an attempt to find cover.  He said after being caught wide and without cover in the early stages, he was obliged to come further back and race at the rear of the field to avoid covering additional ground.  Trainer C H Yip confirmed the instructions issued.  A veterinary inspection immediately following the race did not show any significant findings.",10,7
2023-10-11,G432,HK_2021_G432,GOODBAN BANBANBANG,5,Approaching the 1400 Metres was steadied away from SURE JOYFUL which was being eased to allow FASTPASS to cross.  K De Melo was warned for using the whip on the horse which was out of contention.  A veterinary inspection immediately following the race did not show any significant findings.,11,7
2023-10-11,H040,HK_2022_H040,FASTPASS,11,"Was crowded at the start.  After the race, H T Mo stated that his mount hung out throughout the event and made the Home Turn wide before weakening in the Home Straight.  A veterinary inspection immediately following the race did not show any significant findings.  The performance and racing manners of FASTPASS were considered unacceptable.  Before being allowed to race again, FASTPASS will be required to perform to the satisfaction of the Stewards in a barrier trial around a bend in Hong Kong and be subjected to an official veterinary examination.",12,7
2023-10-15,D267,HK_2019_D267,KYRUS UNICORN,1,Was sent for sampling post-race.,1,1
2023-10-15,G072,HK_2021_G072,JOYFUL CHAMPION,7,Jumped awkwardly and shifted out.  Was sent for sampling post-race.,2,1
2023-10-15,G090,HK_2021_G090,FIERY FLYING,4,Was crowded on jumping.  In the early and middle stages raced keenly.,3,1
2023-10-15,H022,HK_2022_H022,STARSHIP EIGHTY,6,Was bumped heavily at the start when crowded.,4,1
2023-10-15,H032,HK_2022_H032,GOLD STERLING,2,Jumped awkwardly and then was checked when crowded at the start.  Had some difficulty obtaining clear running making the Home Turn.,5,1
2023-10-15,G036,HK_2021_G036,RING BELLS,8,"Raced wide and without cover until near the 1000 Metres when it was allowed to stride forward and race outside the lead.  A veterinary inspection immediately following the race found that horse to be a ""roarer” which had previously been reported. <16/10/2023 Additional Veterinary Reports>RING BELLS, which performed poorly, was examined by the Veterinary Officer who said at that time the horse was found to be a ""roarer” which had previously been reported. RING BELLS was again examined by the Veterinary Officer at the stables of Trainer K H Ting this morning. He said at this time he noted the horse to be lame in its right front leg. Before being allowed to race again, RING BELLS will be subjected to an official veterinary examination.",6,1
